idx,size,true_h,exact_h,noisy_h,err_exact,err_noisy
31,1,-0.05554121177430511,-0.055541211774304926,-0.05560829284972548,1.8735013540549517e-16,-6.708107542036795e-05
32,1,0.05536049299155649,0.055360492991556376,0.05538577589933221,-1.1102230246251565e-16,2.5282907775724117e-05
33,1,-0.09806112206758894,-0.09806112206758874,-0.09815710017979724,1.942890293094024e-16,-9.597811220830865e-05
34,1,-0.01671101780545141,-0.01671101780545147,-0.016785535608913757,-6.245004513516506e-17,-7.451780346234838e-05
35,1,0.007421256161838655,0.0074212561618387275,0.007462543529743868,7.28583859910259e-17,4.128736790521333e-05
36,2,0.038820999117387595,0.03882099911738776,0.03873247860965091,1.6653345369377348e-16,-8.852050773668768e-05
37,2,0.0795336036321825,0.07953360363218229,0.0795531074655743,-2.0816681711721685e-16,1.950383339180406e-05
38,2,0.04484552298568131,0.044845522985681445,0.04465181044998575,1.3183898417423734e-16,-0.00019371253569556296
39,2,-0.013161298593088707,-0.01316129859308873,-0.013066846492246256,-2.2551405187698492e-17,9.445210084245079e-05
40,2,0.03287272682317196,0.03287272682317205,0.03284976586366333,9.020562075079397e-17,-2.2960959508627754e-05
41,2,-0.05695738628319091,-0.0569573862831911,-0.05690494717394057,-1.942890293094024e-16,5.243910925033929e-05
42,2,0.06455734033475972,0.06455734033475961,0.06464683718526154,-1.1102230246251565e-16,8.949685050181622e-05
43,2,-0.007064381167766867,-0.00706438116776672,-0.007033395263674949,1.474514954580286e-16,3.0985904091918384e-05
44,2,-0.030418159898171527,-0.03041815989817134,-0.03030128024661742,1.8735013540549517e-16,0.0001168796515541061
45,2,-0.02885160419693266,-0.028851604196932727,-0.028911799826136942,-6.591949208711867e-17,-6.0195629204281426e-05
46,2,-0.002770275810215633,-0.0027702758102155943,-0.002938062309790703,3.859759734048396e-17,-0.00016778649957507018
47,2,-0.017733034988174877,-0.01773303498817481,-0.017760227192602552,6.591949208711867e-17,-2.7192204427674976e-05
48,2,0.10338241333147967,0.10338241333147945,0.10326661375780806,-2.220446049250313e-16,-0.00011579957367160998
49,2,-0.03242367690665719,-0.032423676906657144,-0.03229212278832047,4.85722573273506e-17,0.00013155411833672137
50,2,0.00147213962925222,0.001472139629252081,0.0015263005581849659,-1.3899471851264167e-16,5.4160928932745975e-05
51,2,0.0012663667856197157,0.0012663667856197716,0.0011527907908397731,5.594483210025203e-17,-0.00011357599477994254
52,2,0.0012763996602860174,0.0012763996602860263,0.0012275454253517892,8.890457814381136e-18,-4.885423493422819e-05
53,2,0.002498695978543622,0.002498695978543385,0.002504643782795444,-2.3678975447083417e-16,5.947804251821894e-06
54,2,-0.0217410865911413,-0.021741086591141316,-0.02175040926290775,-1.734723475976807e-17,-9.322671766450602e-06
55,2,-0.026339059937443583,-0.026339059937443596,-0.026132210620384143,-1.3877787807814457e-17,0.00020684931705943974
56,2,-0.038923903312327465,-0.03892390331232735,-0.03897013006375935,1.1796119636642288e-16,-4.622675143188537e-05
57,2,-0.06718652109311762,-0.06718652109311754,-0.06730197828433258,8.326672684688674e-17,-0.0001154571912149599
58,2,0.009765590325132514,0.009765590325132627,0.009742434431775698,1.1275702593849246e-16,-2.3155893356816004e-05
59,2,0.04444157416789206,0.044441574167891885,0.04439436770837095,-1.734723475976807e-16,-4.720645952110969e-05
60,2,-0.024518583888323574,-0.024518583888323533,-0.02458848277480763,4.163336342344337e-17,-6.98988864840551e-05
