n,m=2n-1,distribution,mean,std,sem,num_samples
125,249,gaussian,6.6655491440e-08,1.6162709712e-07,5.1110975851e-09,1000
126,251,gaussian,6.9426823883e-08,2.2090530547e-07,6.9856391250e-09,1000
127,253,gaussian,5.5630732072e-08,1.8338663221e-07,5.7991945020e-09,1000
128,255,gaussian,5.9590594924e-08,1.5944198303e-07,5.0419982102e-09,1000
129,257,gaussian,5.6502913268e-08,1.6583459021e-07,5.2441501991e-09,1000
130,259,gaussian,5.0611375231e-08,1.2741853125e-07,4.0293277487e-09,1000
131,261,gaussian,5.6896202823e-08,1.5731970430e-07,4.9748858641e-09,1000
132,263,gaussian,4.8394821194e-08,1.3065712850e-07,4.1317411859e-09,1000
133,265,gaussian,4.6392593646e-08,1.3470816637e-07,4.2598462515e-09,1000
134,267,gaussian,5.6170997750e-08,1.7951612371e-07,5.6767982765e-09,1000
135,269,gaussian,4.4524788524e-08,1.1213788143e-07,3.5461111731e-09,1000
136,271,gaussian,5.2145017300e-08,1.3269527061e-07,4.1961928987e-09,1000
137,273,gaussian,4.8511751258e-08,1.6150424041e-07,5.1072125147e-09,1000
138,275,gaussian,4.5784537164e-08,1.2749405666e-07,4.0317160718e-09,1000
139,277,gaussian,4.8521018474e-08,1.2626866909e-07,3.9929659143e-09,1000
140,279,gaussian,3.7193335998e-08,9.3841025868e-08,2.9675137971e-09,1000
141,281,gaussian,4.3390906873e-08,1.2034117576e-07,3.8055221170e-09,1000
142,283,gaussian,3.9904593546e-08,9.7364453861e-08,3.0789343734e-09,1000
143,285,gaussian,3.8887577414e-08,1.0530171903e-07,3.3299327366e-09,1000
144,287,gaussian,4.0568911474e-08,1.2641060213e-07,3.9974542313e-09,1000
145,289,gaussian,3.9404053186e-08,1.0505606052e-07,3.3221643325e-09,1000
146,291,gaussian,3.9728484932e-08,1.2270923525e-07,3.8804067334e-09,1000
147,293,gaussian,3.1303330714e-08,8.8594081231e-08,2.8015908390e-09,1000
148,295,gaussian,3.8301581513e-08,1.0202927971e-07,3.2264491190e-09,1000
149,297,gaussian,3.7079049802e-08,1.1393737593e-07,3.6030161856e-09,1000
150,299,gaussian,3.4703199857e-08,1.0115352078e-07,3.1987551900e-09,1000
151,301,gaussian,3.2088654392e-08,9.5907431494e-08,3.0328592806e-09,1000
152,303,gaussian,3.0345428886e-08,7.5633312149e-08,2.3917353337e-09,1000
153,305,gaussian,3.3590930183e-08,8.6996530911e-08,2.7510718621e-09,1000
154,307,gaussian,3.0948871116e-08,8.9335631739e-08,2.8250407250e-09,1000
155,309,gaussian,3.2669046945e-08,1.0980357517e-07,3.4722939277e-09,1000
156,311,gaussian,2.7405779741e-08,9.4456165012e-08,2.9869662048e-09,1000
157,313,gaussian,2.9521539012e-08,7.9062409476e-08,2.5001729124e-09,1000
158,315,gaussian,3.1076587350e-08,8.1151750373e-08,2.5662436729e-09,1000
159,317,gaussian,3.1871514079e-08,8.5539221961e-08,2.7049877068e-09,1000
160,319,gaussian,3.0124683498e-08,8.5449057633e-08,2.7021364603e-09,1000
161,321,gaussian,3.0621465577e-08,9.8744144328e-08,3.1225640168e-09,1000
162,323,gaussian,2.3934554950e-08,6.4357909311e-08,2.0351757887e-09,1000
163,325,gaussian,2.7545516789e-08,7.0694290962e-08,2.2355497701e-09,1000
164,327,gaussian,2.5296786017e-08,8.8647267168e-08,2.8032727260e-09,1000
165,329,gaussian,2.7779694328e-08,7.2080899382e-08,2.2793981784e-09,1000
166,331,gaussian,2.4592520649e-08,6.0212254438e-08,1.9040786708e-09,1000
167,333,gaussian,2.0362509351e-08,4.8295450515e-08,1.5272362425e-09,1000
168,335,gaussian,2.1059910122e-08,5.8226118085e-08,1.8412715246e-09,1000
169,337,gaussian,2.4311654683e-08,7.1691006920e-08,2.2670686962e-09,1000
170,339,gaussian,2.2977148014e-08,7.7566010905e-08,2.4528526347e-09,1000
171,341,gaussian,2.2147430727e-08,7.2614088283e-08,2.2962590919e-09,1000
172,343,gaussian,2.1671583281e-08,6.3435735529e-08,2.0060140932e-09,1000
173,345,gaussian,1.8517124778e-08,4.4367515285e-08,1.4030240242e-09,1000
174,347,gaussian,1.9641456014e-08,6.1995004491e-08,1.9604541774e-09,1000
175,349,gaussian,2.0737918877e-08,5.8162610025e-08,1.8392632234e-09,1000
176,351,gaussian,2.0706448405e-08,6.3664983788e-08,2.0132635597e-09,1000
177,353,gaussian,1.8263706586e-08,4.4147548381e-08,1.3960680600e-09,1000
178,355,gaussian,1.7343421406e-08,4.8750872888e-08,1.5416379625e-09,1000
179,357,gaussian,1.4319866565e-08,3.7542802461e-08,1.1872076552e-09,1000
180,359,gaussian,1.7264203641e-08,4.8719032735e-08,1.5406310884e-09,1000
181,361,gaussian,1.9591265473e-08,5.5122681751e-08,1.7431322507e-09,1000
182,363,gaussian,1.5483991061e-08,5.4995153397e-08,1.7390994501e-09,1000
183,365,gaussian,1.6062229620e-08,4.2329113768e-08,1.3385641084e-09,1000
184,367,gaussian,1.5077490454e-08,3.5576575950e-08,1.1250301135e-09,1000
185,369,gaussian,1.7002775580e-08,4.5860607825e-08,1.4502397561e-09,1000
186,371,gaussian,1.7548857409e-08,4.6609866964e-08,1.4739334104e-09,1000
187,373,gaussian,1.5433749208e-08,4.4886149683e-08,1.4194246839e-09,1000
188,375,gaussian,1.6514435350e-08,5.1494817554e-08,1.6284091117e-09,1000
189,377,gaussian,1.2704035549e-08,3.2493836465e-08,1.0275453315e-09,1000
190,379,gaussian,1.6429036095e-08,4.2474608237e-08,1.3431650475e-09,1000
191,381,gaussian,1.3203204539e-08,3.2440953509e-08,1.0258730256e-09,1000
192,383,gaussian,1.5989615903e-08,3.7510955326e-08,1.1862005604e-09,1000
193,385,gaussian,1.5141529992e-08,3.6607851921e-08,1.1576419232e-09,1000
194,387,gaussian,1.2443332648e-08,2.9076792687e-08,9.1948891943e-10,1000
195,389,gaussian,1.2955782651e-08,3.5315356188e-08,1.1167696193e-09,1000
196,391,gaussian,1.1579469963e-08,3.3697054510e-08,1.0655944269e-09,1000
197,393,gaussian,1.4266529752e-08,4.2655620502e-08,1.3488891579e-09,1000
198,395,gaussian,1.1667025616e-08,2.9960523070e-08,9.4743492790e-10,1000
199,397,gaussian,1.1760246241e-08,3.1053872202e-08,9.8200966325e-10,1000
200,399,gaussian,1.2695316042e-08,3.5107008243e-08,1.1101810788e-09,1000
