idx,name,label,true_h,exact_h,noisy_h,err_exact,err_noisy
33,Z3X4,IIIZXIIIII,-0.26395384394222104,-0.2639538439422211,-0.2630551971991054,-5.551115123125783e-17,0.0008986467431156275
34,Z3Y4,IIIZYIIIII,-0.04498151043892345,-0.04498151043892364,-0.04552472510930229,-1.942890293094024e-16,-0.0005432146703788429
35,Z3Z4,IIIZZIIIII,0.019976001186760333,0.019976001186760288,0.017678999196447776,-4.5102810375396984e-17,-0.0022970019903125576
36,X4X5,IIIIXXIIII,0.104495560795738,0.10449556079573802,0.10639791150664674,1.3877787807814457e-17,0.0019023507109087318
37,X4Y5,IIIIXYIIII,0.21408280834092366,0.21408280834092358,0.21450493214281505,-8.326672684688674e-17,0.0004221238018913831
38,X4Z5,IIIIXZIIII,0.12071193890185165,0.12071193890185165,0.11826168365893826,0.0,-0.002450255242913396
39,Y4X5,IIIIYXIIII,-0.03542663271304056,-0.035426632713040695,-0.035005301538367714,-1.3877787807814457e-16,0.00042133117467284265
40,Y4Y5,IIIIYYIIII,0.08848443116792226,0.08848443116792232,0.08732722877117867,5.551115123125783e-17,-0.0011572023967435924
41,Y4Z5,IIIIYZIIII,-0.1533137775028503,-0.1533137775028505,-0.1547017087561779,-1.942890293094024e-16,-0.00138793125332759
42,Z4X5,IIIIZXIIII,0.17377078475913255,0.17377078475913244,0.17468054163423993,-1.1102230246251565e-16,0.000909756875107387
43,Z4Y5,IIIIZYIIII,-0.019015390860201157,-0.019015390860201112,-0.02079035662354932,4.5102810375396984e-17,-0.0017749657633481623
44,Z4Z5,IIIIZZIIII,-0.08187740524973278,-0.08187740524973276,-0.08292918314322664,1.3877787807814457e-17,-0.001051777893493866
45,X5X6,IIIIIXXIII,-0.07766066378917112,-0.07766066378917118,-0.07572972804880962,-5.551115123125783e-17,0.001930935740361503
46,X5Y6,IIIIIXYIII,-0.007456828286979707,-0.007456828286979723,-0.006885980472232214,-1.6479873021779667e-17,0.0005708478147474928
47,X5Z6,IIIIIXZIII,-0.047732502455605876,-0.04773250245560592,-0.046922707323366286,-4.163336342344337e-17,0.0008097951322395894
48,Y5X6,IIIIIYXIII,0.2782773113289394,0.27827731132893946,0.2780098936266094,5.551115123125783e-17,-0.0002674177023300195
49,Y5Y6,IIIIIYYIII,-0.08727571104432108,-0.08727571104432108,-0.08820125940459782,0.0,-0.0009255483602767373
50,Y5Z6,IIIIIYZIII,0.003962599099090175,0.0039625990990903625,0.004527557227426659,1.8735013540549517e-16,0.0005649581283364838
51,Z5X6,IIIIIZXIII,0.0034087146246877245,0.0034087146246877696,0.0042492165529837795,4.5102810375396984e-17,0.000840501928296055
52,Z5Y6,IIIIIZYIII,0.0034357203918880586,0.0034357203918880907,0.0035276121846409877,3.209238430557093e-17,9.189179275292904e-05
53,Z5Z6,IIIIIZZIII,0.006725809316407457,0.006725809316407627,0.008555451919065324,1.700029006457271e-16,0.0018296426026578674
54,X6X7,IIIIIIXXII,-0.05852108619822897,-0.05852108619822902,-0.05802850478522401,-5.551115123125783e-17,0.0004925814130049555
55,X6Y7,IIIIIIXYII,-0.07089757867058565,-0.07089757867058565,-0.07265229163008187,0.0,-0.001754712959496224
56,X6Z7,IIIIIIXZII,-0.10477255087334937,-0.10477255087334922,-0.10547939547955847,1.5265566588595902e-16,-0.000706844606209095
57,Y6X7,IIIIIIYXII,-0.18084782357895313,-0.1808478235789533,-0.18069601009182928,-1.6653345369377348e-16,0.0001518134871238419
58,Y6Y7,IIIIIIYYII,0.026286310520769154,0.0262863105207691,0.026818745072608174,-5.204170427930421e-17,0.0005324345518390207
59,Y6Z7,IIIIIIYZII,0.1196246186574647,0.11962461865746479,0.11775850644243109,9.71445146547012e-17,-0.0018661122150336051
60,Z6X7,IIIIIIZXII,-0.06599735276210815,-0.06599735276210805,-0.06605110502130837,9.71445146547012e-17,-5.3752259200220975e-05
61,Z6Y7,IIIIIIZYII,-0.06788471804985778,-0.06788471804985778,-0.06993491236704802,0.0,-0.0020501943171902376
62,Z6Z7,IIIIIIZZII,-0.038460023691745324,-0.038460023691745324,-0.04092158479464971,0.0,-0.0024615611029043874
63,X7X8,IIIIIIIXXI,-0.05597844091360292,-0.05597844091360299,-0.05686035888181535,-6.938893903907228e-17,-0.0008819179682124298
64,X7Y8,IIIIIIIXYI,-0.17454017550797837,-0.17454017550797835,-0.1740923112942539,2.7755575615628914e-17,0.0004478642137244748
65,X7Z8,IIIIIIIXZI,0.16589237200103193,0.16589237200103196,0.16437938927118048,2.7755575615628914e-17,-0.001512982729851453
66,Y7X8,IIIIIIIYXI,0.05334869544824775,0.05334869544824771,0.053217521032592766,-4.163336342344337e-17,-0.00013117441565498739
67,Y7Y8,IIIIIIIYYI,-0.08648749654417642,-0.08648749654417637,-0.08563850846047254,5.551115123125783e-17,0.000848988083703886
68,Y7Z8,IIIIIIIYZI,0.03611327986988044,0.03611327986988046,0.03606583721133926,2.0816681711721685e-17,-4.744265854117469e-05
69,Z7X8,IIIIIIIZXI,-0.05328275511410935,-0.05328275511410932,-0.055945701503404374,2.7755575615628914e-17,-0.002662946389295026
70,Z7Y8,IIIIIIIZYI,-0.0257188698643497,-0.02571886986434964,-0.027206414965889575,6.245004513516506e-17,-0.0014875451015398736
71,Z7Z8,IIIIIIIZZI,0.04423006965474394,0.04423006965474391,0.04366273538840473,-3.469446951953614e-17,-0.0005673342663392103
72,X8X9,IIIIIIIIXX,0.11580734732805262,0.11580734732805249,0.11714691233881445,-1.249000902703301e-16,0.0013395650107618368
73,X8Y9,IIIIIIIIXY,0.1846575188166652,0.18465751881666495,0.184022392921737,-2.498001805406602e-16,-0.0006351258949282013
74,X8Z9,IIIIIIIIXZ,0.20706462311217472,0.20706462311217486,0.20801546659235173,1.3877787807814457e-16,0.000950843480177016
75,Y8X9,IIIIIIIIYX,-0.03024212025712658,-0.030242120257126692,-0.030873291901208504,-1.1102230246251565e-16,-0.000631171644081923
76,Y8Y9,IIIIIIIIYY,-0.060731075667035304,-0.060731075667035415,-0.0619609404308376,-1.1102230246251565e-16,-0.0012298647638022964
77,Y8Z9,IIIIIIIIYZ,0.012103412661463286,0.012103412661463324,0.01160749711815651,3.8163916471489756e-17,-0.0004959155433067759
78,Z8X9,IIIIIIIIZX,0.015596684963439121,0.015596684963439002,0.014936697535923815,-1.196959198423997e-16,-0.0006599874275153069
79,Z8Y9,IIIIIIIIZY,-0.08922503454251907,-0.08922503454251915,-0.08754965159432868,-8.326672684688674e-17,0.0016753829481903904
80,Z8Z9,IIIIIIIIZZ,-0.0754021769102777,-0.07540217691027777,-0.07539988139915345,-6.938893903907228e-17,2.295511124253413e-06
