n,t,observable,mean,std,median,q25,q75,n_realizations
9,72,M_gen,0.1450320327,0.05239363446,0.1256006921,0.1139077793,0.1607907594,15
9,74,M_gen,0.1446799923,0.05183114226,0.1256625078,0.1139658406,0.1585082178,15
9,76,M_gen,0.141014067,0.05298978918,0.1236611242,0.1077379714,0.1545659789,15
9,78,M_gen,0.1431386993,0.05351323836,0.1237545494,0.1129243996,0.1577308743,15
9,80,M_gen,0.1460313607,0.05294820862,0.1279827204,0.1141882581,0.155251134,15
9,82,M_gen,0.145911942,0.05329568556,0.1256450735,0.1146831442,0.15683479,15
9,84,M_gen,0.1478141196,0.05318422549,0.1292943722,0.1190194551,0.162068445,15
9,86,M_gen,0.1493360876,0.05392219478,0.1321708832,0.1183374613,0.160130571,15
9,88,M_gen,0.1505717645,0.05442417352,0.1380953265,0.1154285588,0.1594456824,15
9,90,M_gen,0.151889453,0.05473358824,0.1361382274,0.1158297252,0.1684376299,15
9,92,M_gen,0.153560293,0.05414709254,0.1365028605,0.1185294085,0.1720090181,15
9,94,M_gen,0.1536660154,0.05533153771,0.134606908,0.1163523943,0.1744950287,15
9,96,M_gen,0.1545709796,0.05714497536,0.1341305597,0.1160255112,0.1755632291,15
9,98,M_gen,0.1556283464,0.05783239281,0.1393078905,0.1153168688,0.1761783788,15
9,100,M_gen,0.1562187824,0.05915563321,0.140867142,0.1194465472,0.1797383833,15
9,102,M_gen,0.1578178688,0.05989186681,0.1405883784,0.1189592586,0.1817771811,15
9,104,M_gen,0.1585046423,0.06129389528,0.1396392787,0.1215008948,0.1804908509,15
9,106,M_gen,0.1588223649,0.0616917255,0.14123241,0.1220692509,0.1786659025,15
9,108,M_gen,0.160520122,0.06165305324,0.1477287044,0.1241469065,0.1759180695,15
9,110,M_gen,0.1596329996,0.06297029441,0.143785012,0.123029862,0.1768856138,15
9,112,M_gen,0.1603928583,0.06374299818,0.1396213341,0.1259352112,0.1795773908,15
9,114,M_gen,0.1611770728,0.06444466365,0.1409422141,0.1220595141,0.1811991018,15
9,116,M_gen,0.1637239664,0.064998052,0.142987301,0.1215729229,0.183974893,15
9,118,M_gen,0.1656951999,0.0645439129,0.1482413115,0.1254355609,0.1873926214,15
9,120,M_gen,0.1670018007,0.06557123539,0.1484829025,0.1262309088,0.1921211596,15
9,122,M_gen,0.1684632974,0.06625975237,0.1393383377,0.1277255866,0.1972940845,15
9,124,M_gen,0.1688294834,0.06692983215,0.1423789054,0.1278100867,0.2012451708,15
9,126,M_gen,0.1688687902,0.06606468261,0.1441902156,0.1265889752,0.1984345002,15
9,128,M_gen,0.1703067018,0.06246625603,0.1513127,0.1268670916,0.2013663057,15
9,130,M_gen,0.1696665062,0.0626433419,0.1516317906,0.1296637931,0.1979367178,15
9,132,M_gen,0.1688294062,0.06235293754,0.1547903815,0.1293850155,0.199099325,15
9,134,M_gen,0.1690743726,0.06258696161,0.1508231367,0.1300433019,0.2016773279,15
9,136,M_gen,0.1659908572,0.06430252338,0.1483645119,0.1269731413,0.1986991945,15
9,138,M_gen,0.1657313198,0.06552824345,0.1461698906,0.1257142432,0.1972150718,15
9,140,M_gen,0.1627528278,0.06684559494,0.1479206444,0.1213931003,0.1916780924,15
9,142,M_gen,0.1620686711,0.06705599162,0.1432428369,0.1200392612,0.1884279038,15
9,144,M_gen,0.1616576322,0.06783715349,0.1304692822,0.1225751043,0.1859498575,15
9,146,M_gen,0.1605304094,0.06862135492,0.1257306872,0.1194970318,0.186573351,15
9,148,M_gen,0.1609648583,0.06829869487,0.1374971025,0.1173719167,0.1855716393,15
9,150,M_gen,0.1610912268,0.06823569427,0.1359825669,0.119964907,0.1864498309,15
9,152,M_gen,0.1602501231,0.06880637837,0.1312827126,0.1161423154,0.1863087601,15
9,154,M_gen,0.1596294714,0.06874944128,0.1331830705,0.1164813572,0.1817342926,15
9,156,M_gen,0.160391162,0.06889479934,0.1318072719,0.1190506268,0.1763663346,15
9,158,M_gen,0.1606751444,0.06902201848,0.1364710385,0.1182111744,0.1697571136,15
9,160,M_gen,0.1610320615,0.06823590319,0.1388378114,0.1218354249,0.1652991137,15
9,162,M_gen,0.1604516441,0.06874978665,0.1412842214,0.118972469,0.1645671747,15
9,164,M_gen,0.1621756568,0.06822361054,0.1444211252,0.1193971274,0.1666185035,15
9,166,M_gen,0.162688556,0.06882372123,0.1333613323,0.1240369926,0.1692261651,15
9,168,M_gen,0.1618742661,0.07018462779,0.1412505091,0.1238898807,0.1732251839,15
9,170,M_gen,0.1625799584,0.0703092031,0.1388644971,0.1264434014,0.1737845287,15
9,172,M_gen,0.1648425087,0.07021988927,0.1455208119,0.1258032487,0.1773620543,15
9,174,M_gen,0.163415453,0.07244327608,0.1474021317,0.1245324242,0.1785510857,15
9,176,M_gen,0.1645288442,0.0743602195,0.1452748554,0.1255929086,0.1790779575,15
9,178,M_gen,0.1654449778,0.07541329502,0.1367000472,0.1220537544,0.1807982394,15
9,180,M_gen,0.1667973587,0.07550361402,0.1353878971,0.1242201601,0.1824276154,15
9,182,M_gen,0.1645745942,0.07640178228,0.1357262379,0.1235643796,0.1796546476,15
9,184,M_gen,0.1644887726,0.07506326785,0.1380083258,0.1194880643,0.1778161091,15
9,186,M_gen,0.1650851885,0.07344882203,0.1319229506,0.1205269478,0.1779242469,15
9,188,M_gen,0.1652203966,0.07123415575,0.1392260238,0.118764466,0.1799650554,15
9,190,M_gen,0.1644134208,0.06928360801,0.1387664874,0.1227554767,0.1788865422,15
9,192,M_gen,0.1666529218,0.06879246479,0.1401486362,0.1250837867,0.1841069784,15
9,194,M_gen,0.1661129371,0.06982346393,0.1372956374,0.1192958879,0.1869350845,15
9,196,M_gen,0.1652516449,0.07093613007,0.140299304,0.114867415,0.1850102933,15
9,198,M_gen,0.1671500052,0.07012182899,0.1473776687,0.1226452783,0.1871337962,15
9,200,M_gen,0.1667986129,0.06806585531,0.1500955788,0.1201599969,0.1847088776,15
9,202,M_gen,0.1672591245,0.06720563437,0.1529609631,0.1219686388,0.1837369295,15
9,204,M_gen,0.1662856008,0.06669856621,0.1478909324,0.1243552327,0.1823471642,15
9,206,M_gen,0.1646490742,0.06760487223,0.1518056794,0.1194011113,0.1876520467,15
9,208,M_gen,0.1640252525,0.06593514149,0.1462097812,0.1186133781,0.1875739708,15
9,210,M_gen,0.1637550915,0.06497748864,0.1422623052,0.1204026479,0.189713258,15
9,212,M_gen,0.1607624416,0.06531864203,0.1291299362,0.1205028106,0.1913294538,15
9,214,M_gen,0.1589957194,0.06632422087,0.1262934179,0.1191174105,0.1962075889,15
9,216,M_gen,0.1597330798,0.06448277407,0.130033637,0.1181690774,0.1978899352,15
9,218,M_gen,0.1610495124,0.06256438194,0.1269890901,0.1214576134,0.1978261681,15
9,220,M_gen,0.1617770898,0.06182231087,0.1316266486,0.1260821032,0.1969054351,15
9,222,M_gen,0.1614079578,0.06065064836,0.1311638182,0.1209934822,0.1949610689,15
9,224,M_gen,0.160123692,0.0614310847,0.135746118,0.1207812665,0.193052018,15
9,226,M_gen,0.1588725778,0.0615272453,0.1321018929,0.1222591259,0.1886917217,15
9,228,M_gen,0.1585455263,0.06043411235,0.1289563338,0.121121637,0.1915584601,15
9,230,M_gen,0.1581253245,0.06079999352,0.1293488132,0.1183173901,0.1935643232,15
9,232,M_gen,0.1595715406,0.06079718106,0.1355152947,0.1173970351,0.1963958654,15
9,234,M_gen,0.1589568357,0.06174605343,0.1414335368,0.1159812086,0.1890750273,15
9,236,M_gen,0.1605703375,0.06157874828,0.1415223598,0.1199377511,0.1891580511,15
9,238,M_gen,0.1611375169,0.06302759336,0.141070165,0.1223260042,0.1870328125,15
9,240,M_gen,0.1608106958,0.06397918047,0.1400521982,0.1213636351,0.182884986,15
9,242,M_gen,0.1604951237,0.06413953975,0.1402957003,0.1212945097,0.1812650724,15
9,244,M_gen,0.1602973897,0.0648317478,0.1408917272,0.1245041995,0.1801200289,15
9,246,M_gen,0.1615322737,0.06536275694,0.1411431119,0.1202312011,0.1836041446,15
9,248,M_gen,0.1631623509,0.06611155767,0.1452747521,0.1236106968,0.1840419744,15
9,250,M_gen,0.1640169385,0.06491286082,0.1440478118,0.1234485276,0.1850195634,15
9,252,M_gen,0.1653192751,0.06387367317,0.1456411297,0.1256231548,0.183829509,15
9,254,M_gen,0.1645898691,0.06230257134,0.1431137032,0.1236081393,0.1851463726,15
9,256,M_gen,0.1651469927,0.06326137838,0.1438677149,0.1247879536,0.1872051946,15
9,258,M_gen,0.1656094701,0.06415817151,0.1457412868,0.1266414227,0.188052181,15
9,260,M_gen,0.1646864891,0.0657631388,0.143752016,0.1211152911,0.1878722732,15
9,262,M_gen,0.1657017981,0.06658657676,0.1337318947,0.1255275372,0.1876382717,15
9,264,M_gen,0.1655693036,0.06725261437,0.137272477,0.1241529649,0.1887140662,15
9,266,M_gen,0.1678331596,0.06608790961,0.1444443895,0.1276685614,0.1950600594,15
9,268,M_gen,0.165878685,0.06729558469,0.1375878882,0.1276643079,0.1992809932,15
9,270,M_gen,0.1658394022,0.06739235168,0.1413548154,0.1267542264,0.193173852,15
9,272,M_gen,0.1660491406,0.06749332654,0.1472801951,0.1301907267,0.1930864994,15
9,274,M_gen,0.1671178968,0.06687132576,0.1451963181,0.1288908057,0.190998197,15
9,276,M_gen,0.1649016187,0.06780443183,0.1377286448,0.1243531367,0.1920787766,15
9,278,M_gen,0.1650464108,0.06761758618,0.1360133566,0.1282614147,0.1936664225,15
9,280,M_gen,0.1658039428,0.06884907354,0.1406378145,0.1311507521,0.193125429,15
9,282,M_gen,0.1679390551,0.06796026874,0.1443724475,0.1258970769,0.1929661481,15
9,284,M_gen,0.1694016989,0.06746709184,0.1510659738,0.1262867103,0.1923436363,15
9,286,M_gen,0.1697030351,0.06782882067,0.153902128,0.1299649164,0.1902902098,15
9,288,M_gen,0.1684606949,0.0674693659,0.1501212281,0.1298472594,0.1871693324,15
9,290,M_gen,0.1668827133,0.06823304998,0.1479438242,0.1252894472,0.1857276464,15
9,292,M_gen,0.1654548107,0.07038906502,0.1545021396,0.1185897909,0.1849612833,15
9,294,M_gen,0.167587787,0.06978339173,0.152538058,0.125002287,0.1917355703,15
9,296,M_gen,0.1689382362,0.07030304174,0.151688382,0.1236329344,0.1923452096,15
9,298,M_gen,0.1696912454,0.07007062153,0.1451584659,0.1305117574,0.1914100199,15
9,300,M_gen,0.1682980751,0.071704044,0.1450967694,0.1246490092,0.193252057,15
9,302,M_gen,0.1712517375,0.06948168381,0.1449092148,0.1328963811,0.1964775902,15
9,304,M_gen,0.1711922133,0.06950779065,0.1484354189,0.1286932475,0.2008903757,15
9,306,M_gen,0.170137404,0.06888626208,0.1489496124,0.1329238274,0.1980812771,15
9,308,M_gen,0.169472174,0.06649954355,0.1507399132,0.1355919061,0.1921964238,15
9,310,M_gen,0.1678708672,0.06573384396,0.1481997749,0.12904221,0.1900269118,15
9,312,M_gen,0.1652546413,0.06498079341,0.1435474197,0.12886389,0.1852957944,15
9,314,M_gen,0.1648477604,0.06420356228,0.1395952436,0.12815147,0.1840506188,15
9,316,M_gen,0.1634663827,0.06470830175,0.1389306641,0.1237843366,0.1859087114,15
9,318,M_gen,0.1620923035,0.06547601201,0.1324298373,0.124147186,0.1850981155,15
9,320,M_gen,0.1617242627,0.06632224906,0.1322187287,0.1246201108,0.188733555,15
9,322,M_gen,0.16207324,0.06573834269,0.1340857112,0.1235599556,0.1934160446,15
9,324,M_gen,0.1603013056,0.06642281843,0.131050386,0.1193254785,0.1942573499,15
9,326,M_gen,0.1612624728,0.06694222004,0.1270972122,0.1205589777,0.1928201029,15
9,328,M_gen,0.1603732211,0.06861368722,0.1324353099,0.1232804842,0.1918084011,15
9,330,M_gen,0.1602998652,0.06970555972,0.1299151459,0.115484366,0.1899347105,15
9,332,M_gen,0.1609342848,0.07042638476,0.1331246406,0.120024301,0.1856773216,15
9,334,M_gen,0.1617036082,0.06956344479,0.1344442677,0.1237207727,0.1831049787,15
9,336,M_gen,0.1632295552,0.06820685458,0.137438794,0.1251212515,0.1850092412,15
9,338,M_gen,0.162588909,0.06782673538,0.1343069135,0.1214333536,0.185860331,15
9,340,M_gen,0.1625460685,0.06812401105,0.1377028453,0.1195428411,0.1854825495,15
9,342,M_gen,0.1612992516,0.06959025977,0.1288392248,0.1205110545,0.1900384119,15
9,344,M_gen,0.162253312,0.06820621471,0.139373539,0.1218545189,0.1923487593,15
9,346,M_gen,0.1632950786,0.06773436467,0.135123611,0.120456985,0.1929875202,15
9,348,M_gen,0.1644625093,0.06839483501,0.133579063,0.1230652866,0.1993193507,15
9,350,M_gen,0.1666202147,0.06874723284,0.1303705591,0.1227999287,0.2062542417,15
9,352,M_gen,0.1675106619,0.06946260615,0.1355147267,0.12183638,0.2157924583,15
9,354,M_gen,0.1682677643,0.06909775352,0.1369192399,0.1246726169,0.2182516833,15
9,356,M_gen,0.1688369764,0.06726326558,0.1399056042,0.1200447863,0.2162863856,15
9,358,M_gen,0.1711204592,0.0657466217,0.1473033969,0.1263286238,0.2176169673,15
