n,t,observable,mean,std,median,q25,q75,n_realizations
6,166,autocorrelation,0.3617389077,0.09025778903,0.3399232352,0.3036795656,0.3931394433,30
6,168,autocorrelation,0.3542912506,0.09039977595,0.3358622091,0.2969637676,0.4048847845,30
6,170,autocorrelation,0.3740481427,0.1006929542,0.3395900469,0.298887309,0.4220183869,30
6,172,autocorrelation,0.3747481385,0.0963960468,0.3518537786,0.3167756849,0.4076489397,30
6,174,autocorrelation,0.3722273529,0.09941402298,0.3587790436,0.3024099875,0.4189867275,30
6,176,autocorrelation,0.3744202138,0.0954271733,0.3535119356,0.3190427021,0.4010006724,30
6,178,autocorrelation,0.3782363035,0.08845753923,0.3576933863,0.3126228349,0.4283210264,30
6,180,autocorrelation,0.3707114071,0.09349783898,0.3490520919,0.3142581218,0.3915118768,30
6,182,autocorrelation,0.3607244234,0.09731037976,0.3442666214,0.3068625414,0.4033723725,30
6,184,autocorrelation,0.3547401612,0.0968720176,0.3370228084,0.2992819423,0.3808397307,30
6,186,autocorrelation,0.3595698332,0.08817262727,0.3393977308,0.3079364396,0.3903900215,30
6,188,autocorrelation,0.3625633284,0.08681535557,0.3538888675,0.2925628752,0.4114482536,30
6,190,autocorrelation,0.3630169578,0.08226233308,0.3474512364,0.313566314,0.3858408778,30
6,192,autocorrelation,0.365933938,0.08520424882,0.3452507446,0.2997019612,0.3959606171,30
6,194,autocorrelation,0.3489698636,0.08735301273,0.3270973988,0.2945589956,0.3749117677,30
6,196,autocorrelation,0.3534838501,0.09094984142,0.3249720002,0.2967403572,0.4090304929,30
6,198,autocorrelation,0.3575155125,0.09068179428,0.337239064,0.2955128328,0.4035041994,30
6,200,autocorrelation,0.3675474966,0.08974780535,0.3471884812,0.3127020555,0.4066990792,30
6,202,autocorrelation,0.3615825579,0.09573954452,0.336807995,0.2983370483,0.407923721,30
6,204,autocorrelation,0.370977807,0.08840271446,0.3393157308,0.3184346441,0.4097894766,30
6,206,autocorrelation,0.3726562184,0.09276271274,0.3531410676,0.3192545514,0.4007136477,30
6,208,autocorrelation,0.3578006087,0.09453676162,0.334575076,0.310231861,0.3908070975,30
6,210,autocorrelation,0.362709405,0.09474774321,0.3524279374,0.2995146778,0.4075481623,30
